model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,dataset,val_rmse,val_log_rmse,test_rmse,test_log_rmse,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success,K
GAT,2,256,GraphNorm,relu,2,mean,True,True,0.001,0.0001,0.3,Half_Life_Obach,105.95285194810708,1.182857424576852,19.99386807854317,0.8964264005616925,25.78105354309082,8.091080665588379,-0.01962656546058672,0.15099268899720186,29,65.94,42,True,
SAGE,3,128,LayerNorm,swish,1,add,False,True,0.001,0.001,0.1,Half_Life_Obach,106.22076344075813,1.1614765305803234,20.136790358141347,0.9917761420637972,26.6605224609375,9.40704345703125,-0.024789523084561838,0.13881137872031712,38,45.25,42,True,
TAG,4,128,BatchNorm,leaky_relu,1,max,True,False,0.0001,0.001,0.3,Half_Life_Obach,106.25507800365355,1.2954238951274526,18.65085522529103,1.006745356651915,26.520048141479492,8.409998893737793,-0.025451745487334643,0.2612197319298989,3,66.73,42,True,
TAG,4,64,LayerNorm,relu,1,add,False,True,0.0001,0.0001,0.1,Half_Life_Obach,106.35691312157381,1.293964112188205,19.13718958328219,0.9952141328305514,26.48410415649414,8.330486297607422,-0.027418278154341724,0.22218895831173036,26,60.16,42,True,
GCN,4,128,GraphNorm,relu,1,mean,False,False,0.0001,1e-05,0.1,Half_Life_Obach,107.00654368133287,1.3015560285896424,20.655260855902803,0.9732631952613161,26.683197021484375,8.44043254852295,-0.040007599680614625,0.09389369231567135,8,34.78,42,True,
SAGE,2,256,GraphNorm,relu,1,add,True,True,0.001,0.0001,0.3,Half_Life_Obach,104.6152829268984,1.1270794580187957,18.401065530193744,0.9474770828209169,25.19144630432129,8.665151596069336,0.0059548571166025965,0.28087608887275906,26,47.42,42,True,
GIN,3,256,LayerNorm,swish,1,mean,True,False,0.0005,0.001,0.3,Half_Life_Obach,106.29743885819875,1.165079350465118,17.211857740377706,0.9478507815076004,25.906715393066406,8.017127990722656,-0.026269544918564813,0.3708223581872875,71,104.8,42,True,
SGC,3,256,GraphNorm,relu,1,mean,True,True,0.0005,1e-05,0.3,Half_Life_Obach,105.18265363167066,1.1780238253314264,16.831579337313574,0.8795174989455622,25.42473602294922,7.609975337982178,-0.004856593281733268,0.3983173027066279,34,99.73,42,True,5.0
GAT,4,64,BatchNorm,relu,8,add,True,True,0.0001,1e-05,0.2,Half_Life_Obach,106.31927888440553,1.306870690719238,18.9767836223737,1.0494118166431048,26.914403915405273,8.819418907165527,-0.026691305905061746,0.2351733770610822,3,35.0,42,True,
SAGE,4,64,GraphNorm,swish,1,mean,True,False,0.0001,0.0001,0.2,Half_Life_Obach,107.00924043774211,1.3054874280287272,21.04641390085108,1.018132662244152,27.04041290283203,8.831168174743652,-0.0400600204467596,0.05925049258529713,5,33.19,42,True,
SAGE,2,256,GraphNorm,gelu,1,mean,True,True,0.001,0.001,0.3,Clearance_Hepatocyte_AZ,49.02695766744047,1.119576421778685,61.87634547148247,1.2232401064972007,30.373659133911133,34.48912048339844,0.03797637065345849,-0.6613482654943994,26,98.73,42,True,
SAGE,4,128,BatchNorm,relu,1,mean,True,True,0.001,0.001,0.1,Clearance_Hepatocyte_AZ,45.94613545534869,1.0400510747537888,49.693442549514266,1.2622813923775502,26.888824462890625,32.88776397705078,0.15508342853100332,-0.07154284060443472,50,197.02,42,True,
GAT,4,256,LayerNorm,swish,2,max,False,True,0.0001,0.001,0.2,Clearance_Hepatocyte_AZ,51.972280303272,1.186654608821383,50.794034448416035,1.2366601138014646,32.36175537109375,33.62271499633789,-0.08108388837214542,-0.11953271632972529,62,327.48,42,True,
