model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,dataset,val_rmse,test_rmse,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success,K
GCN,4,128,BatchNorm,gelu,1,add,False,False,0.001,0.001,0.1,Clearance_Hepatocyte_AZ,43.80965519918954,47.17959112115508,28.06020736694336,31.88198471069336,0.23183322130446193,0.03412768760519014,44,145.41,42,True,
GCN,3,256,GraphNorm,swish,1,add,False,True,0.001,1e-05,0.3,Clearance_Hepatocyte_AZ,45.88106652667307,65.81743363511296,31.453853607177734,36.763431549072266,0.1574748760720306,-0.8797204213659395,9,102.33,42,True,
Transformer,4,128,BatchNorm,relu,8,add,False,False,0.0005,1e-05,0.3,Clearance_Hepatocyte_AZ,42.97340883834444,51.369558524176064,27.558725357055664,35.22044372558594,0.2608791369213648,-0.1450462742111831,72,329.92,42,True,
Graph,4,64,BatchNorm,gelu,1,max,False,True,0.0001,1e-05,0.2,Clearance_Hepatocyte_AZ,51.270713230422786,49.90248302940446,35.24601364135742,34.83783721923828,-0.052094060476438386,-0.08057690822524188,3,33.76,42,True,
Graph,4,64,BatchNorm,relu,1,max,True,False,0.0001,1e-05,0.1,Clearance_Hepatocyte_AZ,51.23046502692514,49.922782170943755,35.138938903808594,34.78758239746094,-0.05044289268415758,-0.08145619292396122,3,29.42,42,True,
SAGE,2,128,BatchNorm,relu,1,mean,False,False,0.0001,0.0001,0.2,Clearance_Hepatocyte_AZ,49.06014126495663,51.122347214947254,31.595359802246094,34.16765594482422,0.03667365027195246,-0.13405193140180915,92,136.04,42,True,
GCN,4,64,BatchNorm,relu,1,max,True,True,0.0005,1e-05,0.3,Clearance_Hepatocyte_AZ,49.30959869475212,48.93610061457058,30.548492431640625,33.1994514465332,0.02685224080706161,-0.03913049972715643,40,91.84,42,True,
GCN,3,256,BatchNorm,gelu,1,mean,False,True,0.0005,0.001,0.1,Clearance_Hepatocyte_AZ,41.970406415097266,77.24154547687566,26.667062759399414,35.27198791503906,0.29497876141700274,-1.5888881084795772,41,132.75,42,True,
GIN,4,128,LayerNorm,relu,1,max,False,True,0.0001,1e-05,0.1,Clearance_Hepatocyte_AZ,52.68104247571535,51.599761631141526,33.73642349243164,33.928131103515625,-0.11077109965840193,-0.15533189236580602,23,74.2,42,True,
SAGE,2,256,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.1,Clearance_Hepatocyte_AZ,43.90822671262044,50.435914724932125,29.643213272094727,34.81409454345703,0.2283725893639118,-0.10380199525588774,39,97.18,42,True,
SGC,2,128,LayerNorm,swish,1,max,True,True,0.0001,1e-05,0.2,Clearance_Hepatocyte_AZ,52.81850927350184,51.70453921078883,33.80850601196289,33.87620162963867,-0.11657559251938276,-0.16002864984986953,5,31.42,42,True,2.0
Graph,3,64,LayerNorm,relu,1,add,False,False,0.001,0.001,0.3,Clearance_Hepatocyte_AZ,51.19423414189336,51.16654075250862,33.522274017333984,34.523685455322266,-0.048957642924264855,-0.1360134778453621,22,55.55,42,True,
TAG,4,256,GraphNorm,relu,1,mean,True,True,0.0001,0.0001,0.3,Clearance_Hepatocyte_AZ,53.46269736709536,52.22333864862888,33.283416748046875,33.610374450683594,-0.14397776659280437,-0.18342472067614612,3,131.58,42,True,
Graph,4,64,LayerNorm,gelu,1,max,True,True,0.001,1e-05,0.2,Clearance_Hepatocyte_AZ,51.25323208177339,49.1253826718556,37.079105377197266,35.654754638671875,-0.05137674347069021,-0.04718464162951119,1,34.33,42,True,
GCN,4,64,BatchNorm,relu,1,max,True,True,0.001,0.001,0.2,Clearance_Hepatocyte_AZ,44.44367485227791,175.33252448027147,28.093290328979492,43.30638122558594,0.20943829319787888,-12.339401457133647,45,100.32,42,True,
GAT,2,128,LayerNorm,leaky_relu,4,add,True,True,0.0001,1e-05,0.1,Clearance_Hepatocyte_AZ,52.76983529989576,51.70464073027561,33.59174728393555,33.903076171875,-0.11451861931573126,-0.16003320518023645,8,38.3,42,True,
SGC,2,64,BatchNorm,relu,1,add,True,True,0.0001,0.0001,0.2,Clearance_Hepatocyte_AZ,52.563547384778694,51.51409185995857,33.9134521484375,33.979209899902344,-0.10582189568875933,-0.15149874076896697,6,26.7,42,True,2.0
