model_name,graph_layers,graph_hidden_channels,graph_norm,activation,heads,aggr,residual,use_edge_features,learning_rate,weight_decay,dropout,K,dataset,val_rmse,val_log_rmse,val_spearman,test_rmse,test_log_rmse,test_spearman,val_mae,test_mae,val_r2,test_r2,epochs_trained,train_time_s,seed,success
Graph,2,128,BatchNorm,gelu,1,mean,True,False,0.0005,0.0001,0.2,,Half_Life_Obach,106.0997467009229,1.2104636057183498,0.5406641176331777,18.15912819403999,0.9250340559182973,0.4526083977982976,25.379152297973633,7.9206414222717285,-0.02245577895928008,0.2996621384700815,5,18.95,42,True
SAGE,4,256,BatchNorm,relu,1,add,True,True,0.001,1e-05,0.1,,Half_Life_Obach,107.00397006361493,1.2538810997395529,0.4458803552647711,19.98787855943298,0.9217880958293111,0.4515578305176577,26.341642379760742,8.311509132385254,-0.03995757377180609,0.1515016132810295,3,39.37,42,True
SGC,4,128,BatchNorm,gelu,1,mean,True,True,0.0005,1e-05,0.1,2.0,Half_Life_Obach,106.43181594482216,1.2267565130365043,0.4691587462429149,19.121652746553202,0.8610029998728973,0.4730379901005641,25.99330711364746,7.435523986816406,-0.028865925065091114,0.2234517045583454,3,34.72,42,True
SAGE,4,128,BatchNorm,gelu,1,mean,True,True,0.001,1e-05,0.1,,Half_Life_Obach,106.63707984033978,1.2247348242024552,0.44940864950271403,20.02269220472112,0.9191787365811058,0.2810422621567349,26.519739151000977,7.907675266265869,-0.03283828379910925,0.14854331566551737,2,37.14,42,True
SAGE,4,256,BatchNorm,relu,1,add,True,False,0.0005,1e-05,0.2,,Half_Life_Obach,106.21899823448487,1.2038156173646883,0.431683668390208,21.61366918875139,1.0066148794342453,0.3624703828600739,26.665512084960938,9.04017448425293,-0.024755462891330682,0.0078562138897873,2,46.46,42,True
SAGE,2,128,BatchNorm,relu,1,mean,True,True,0.001,0.0001,0.1,,Half_Life_Obach,106.8896051789532,1.227899321459435,0.510871952677293,21.34097526688499,0.9382569299882466,0.3805974996211108,26.616378784179688,8.363889694213867,-0.03773576705240411,0.03273351158865001,2,21.41,42,True
SAGE,2,256,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.2,,Half_Life_Obach,106.7825623638991,1.2508698269795864,0.4791173045358071,19.303573767701103,0.8620921852314002,0.4946358936149588,25.82843017578125,7.849735736846924,-0.035658361360555446,0.2086054487949376,17,47.62,42,True
SAGE,3,256,BatchNorm,relu,1,mean,True,False,0.0005,1e-05,0.2,,Half_Life_Obach,105.80652855270793,1.178883163928138,0.5211436731806534,18.83807520402703,0.8795439695465649,0.5312364740934463,25.971717834472656,8.02845573425293,-0.016812253296432322,0.24631361623187342,7,68.46,42,True
TAG,4,128,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.1,,Half_Life_Obach,104.01055854605579,1.201704992126888,0.4048143507320275,19.067762305162393,0.9153727300731738,0.510324544546763,27.001934051513672,8.359908103942871,0.017413717281592245,0.2278226195857298,9,93.0,42,True
SAGE,3,128,BatchNorm,relu,1,add,True,False,0.001,0.0001,0.2,,Half_Life_Obach,105.89259280486762,1.1678737468055385,0.4474461663171126,20.155700392216126,0.9578521065647914,0.32906009688151056,26.2387752532959,8.442333221435547,-0.018467099716005242,0.13719350674316788,2,25.75,42,True
